Survey ID,Privacy concern
1,Not concerned
2,Mildly concerned
3,Not concerned
4,Very concerned
5,I don't know
6,Not concerned
7,Very concerned
8,Mildly concerned
9,Mildly concerned
10,I don't know
11,Not concerned
12,Not concerned
13,Not concerned
14,Mildly concerned
15,Moderately concerned
16,Not concerned
17,Very concerned
18,Very concerned
19,Moderately concerned
20,Very concerned
21,Not concerned
22,Moderately concerned
23,Mildly concerned
24,I don't know
25,Not concerned
26,Not concerned
27,Very concerned
28,Not concerned
29,I don't know
30,I don't know
31,Very concerned
32,I don't know
33,Not concerned
34,Very concerned
35,Moderately concerned
36,Not concerned
37,Very concerned
38,Not concerned
39,Mildly concerned
40,Not concerned
41,Mildly concerned
42,Very concerned
43,Not concerned
44,Mildly concerned
45,Very concerned
46,Not concerned
47,I don't know
48,Mildly concerned
49,Very concerned
50,Mildly concerned
51,Not concerned
52,Very concerned
53,Very concerned
54,Moderately concerned
55,I don't know
56,Very concerned
57,Not concerned
58,Very concerned
59,Mildly concerned
60,Moderately concerned
61,Very concerned
62,Mildly concerned
63,Very concerned
64,Very concerned
65,Mildly concerned
66,Not concerned
67,Mildly concerned
68,Very concerned
69,Not concerned
70,Moderately concerned
71,Moderately concerned
72,Mildly concerned
73,Mildly concerned
74,Mildly concerned
75,Moderately concerned
76,Very concerned
77,Moderately concerned
78,Not concerned
79,Mildly concerned
80,Mildly concerned
81,Not concerned
82,Moderately concerned
83,Moderately concerned
84,I don't know
85,Very concerned
86,Very concerned
87,Moderately concerned
88,I don't know
89,Very concerned
90,Very concerned
91,Not concerned
92,Moderately concerned
93,Very concerned
94,Not concerned
95,Mildly concerned
96,Not concerned
97,Moderately concerned
98,Not concerned
99,Not concerned
100,Mildly concerned
101,Very concerned
102,Very concerned
103,Mildly concerned
104,Moderately concerned
105,Mildly concerned
106,Very concerned
107,Moderately concerned
108,Moderately concerned
109,Not concerned
110,Mildly concerned
111,Mildly concerned
112,Mildly concerned
113,Moderately concerned
114,I don't know
115,Very concerned
116,Very concerned
117,Very concerned
118,Very concerned
119,Not concerned
120,Not concerned
121,Mildly concerned
122,I don't know
123,Very concerned
124,Very concerned
125,I don't know
126,I don't know
127,Mildly concerned
128,Not concerned
129,Very concerned
130,Moderately concerned
131,I don't know
132,Mildly concerned
133,Not concerned
134,Not concerned
135,Mildly concerned
136,Not concerned
137,Very concerned
138,Very concerned
139,Very concerned
140,Mildly concerned
141,Not concerned
142,I don't know
143,I don't know
144,Very concerned
145,Very concerned
146,Very concerned
147,I don't know
148,Not concerned
149,I don't know
150,Not concerned
151,Moderately concerned
152,Very concerned
153,I don't know
154,Not concerned
155,Not concerned
156,Mildly concerned
157,Mildly concerned
158,Not concerned
159,Very concerned
160,I don't know
161,Moderately concerned
162,Mildly concerned
163,Mildly concerned
164,Not concerned
165,Not concerned
166,Moderately concerned
167,Mildly concerned
168,Very concerned
169,Moderately concerned
170,Very concerned
171,Moderately concerned
172,Mildly concerned
173,Not concerned
174,Very concerned
175,Mildly concerned
176,Not concerned
177,Moderately concerned
178,Very concerned
179,Not concerned
180,Moderately concerned
181,Very concerned
182,Mildly concerned
183,Moderately concerned
184,Moderately concerned
185,Mildly concerned
186,Very concerned
187,Mildly concerned
188,Moderately concerned
189,Moderately concerned
190,Moderately concerned
191,Mildly concerned
192,Very concerned
193,Mildly concerned
194,Moderately concerned
195,Not concerned
196,Mildly concerned
197,I don't know
198,Mildly concerned
199,Not concerned
200,Very concerned
201,Very concerned
202,Moderately concerned
203,Moderately concerned
204,Very concerned
205,Mildly concerned
206,Not concerned
207,Moderately concerned
208,Moderately concerned
209,Moderately concerned
210,Very concerned
211,Mildly concerned
212,Very concerned
213,Very concerned
214,Not concerned
215,Not concerned
216,Very concerned
217,Not concerned
218,Mildly concerned
219,Not concerned
220,Very concerned
221,Not concerned
222,Mildly concerned
223,Not concerned
