brand_2019,device,smart_display_2018,usage_2019,usage_2018,number_devices_2019,number_devices_2018,living_room,bedroom,kitchen,home_office,dining_room,bathroom,garage,work_office,music,news,movies,how_to_instructions,history,products,restaurants,sports,retail_store_hours,science,math,games,health_and_wellness,none_of_the_above,celebrities,politics,local_business,travel,other,professional_work_related,finance_banking_investing,fashion
Amazon,Amazon Echo Dot,Amazon Alexa,Daily,Daily,1,1,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no
Google,Google Home Mini,None,Monthly,Monthly,1,1,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no
Amazon,Amazon Echo Dot,None,Monthly,Daily,3,4,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no
Other,Other,None,Daily,Daily,5-10,10+,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
Amazon,Amazon Echo or Plus,None,Never/Rarely,Monthly,2,2,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo or Plus,Amazon Alexa,Daily,Daily,1,1,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Google,Google Home,None,Never/Rarely,Never/Rarely,1,1,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Other,Other,None,Never/Rarely,Monthly,1,1,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no
Other,Other,None,Daily,Daily,2,2,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo or Plus,None,Never/Rarely,Monthly,1,1,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no
Other,Other,None,Never/Rarely,Monthly,2,2,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo Dot,None,Never/Rarely,Monthly,2,1,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo Show,None,Monthly,Daily,1,1,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo or Plus,None,Daily,Daily,1,1,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no
Amazon,Amazon Echo Dot,None,Daily,Daily,1,1,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Amazon,Amazon Echo or Plus,None,Daily,Daily,1,1,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no
Amazon,Amazon Echo Dot,Amazon Alexa,Daily,Daily,1,1,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes
Amazon,Amazon Echo or Plus,None,Daily,Daily,2,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
Amazon,Amazon Echo or Plus,Amazon Alexa,Never/Rarely,Never/Rarely,3,3,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no
Google,Google Home Hub,Google Assistant,Monthly,Monthly,1,1,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no
Other,Other,None,Daily,Daily,1,1,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no
Google,Google Home Mini,None,Monthly,Monthly,1,1,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo Show,None,Never/Rarely,Monthly,1,1,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo Show,None,Monthly,Monthly,1,1,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no
Other,Other,None,Never/Rarely,Monthly,1,1,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo Dot,None,Never/Rarely,Monthly,1,1,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
Google,Google Home Mini,None,Daily,Daily,2,1,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Google,Google Home Mini,None,Daily,Daily,3,2,no,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo Spot,None,Daily,Daily,1,1,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no
Amazon,Amazon Echo Dot,None,Daily,Daily,1,1,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo or Plus,None,Daily,Daily,2,2,yes,no,yes,no,no,no,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Google,Google Home Mini,Google Assistant,Monthly,Monthly,3,4,yes,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no
Amazon,Amazon Echo Dot,None,Monthly,Monthly,1,1,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
Google,Google Home Hub,Google Assistant,Daily,Daily,1,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo or Plus,None,Never/Rarely,Monthly,2,1,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
Amazon,Amazon Echo Show,None,Daily,Daily,1,1,no,no,no,no,no,yes,no,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no
Amazon,Amazon Echo or Plus,None,Daily,Daily,1,1,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
Amazon,Amazon Echo Dot,None,Daily,Daily,1,1,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Other,Other,None,Monthly,Monthly,2,2,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no
Google,Google Home,None,Daily,Daily,1,1,no,no,no,no,yes,no,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo Dot,None,Monthly,Monthly,1,1,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Amazon,Amazon Echo Dot,None,Never/Rarely,Never/Rarely,1,1,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo or Plus,None,Daily,Daily,1,1,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
Amazon,Amazon Echo Dot,Amazon Alexa,Monthly,Monthly,3,2,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no
Google,Google Home Max,Google Assistant,Daily,Daily,1,1,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo Dot,None,Never/Rarely,Monthly,2,2,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sonos,Sonos One,None,Daily,Daily,2,2,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no
Amazon,Amazon Echo Dot,None,Never/Rarely,Monthly,3,4,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Other,Other,None,Daily,Daily,1,1,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
Amazon,Amazon Echo Dot,None,Daily,Daily,2,1,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
Amazon,Amazon Echo Dot,None,Daily,Daily,3,3,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no
Amazon,Amazon Echo Dot,None,Daily,Daily,2,2,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Google,Google Home,None,Monthly,Monthly,1,1,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo Dot,Amazon Alexa,Daily,Daily,1,1,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes
Other,Other,None,Monthly,Daily,1,1,no,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo Spot,None,Monthly,Monthly,1,1,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Google,Google Home Mini,None,Daily,Daily,1,1,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no
Amazon,Amazon Echo Dot,None,Never/Rarely,Never/Rarely,2,2,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo or Plus,Amazon Alexa,Never/Rarely,Monthly,1,1,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo Dot,None,Daily,Daily,2,2,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo Dot,Amazon Alexa,Daily,Daily,1,1,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo or Plus,None,Never/Rarely,Monthly,2,1,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no
Amazon,Amazon Echo Dot,Amazon Alexa,Daily,Daily,2,2,yes,no,yes,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo or Plus,None,Daily,Daily,3,3,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Amazon,Amazon Echo or Plus,None,Daily,Daily,4,4,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no
Other,Other,None,Monthly,Daily,4,5-10,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no
Google,Google Home,None,Never/Rarely,Monthly,2,1,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Other,Other,None,Never/Rarely,Monthly,3,3,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Other,Other,None,Daily,Daily,1,1,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no
Apple,Apple HomePad,None,Monthly,Monthly,1,1,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no
